Age,Income,LoanAmount,CreditScore,EmploymentYears,ExistingLoans,LoanTerm,InterestRate,DebtToIncome,Loan_Default
25,30000,100000,650,2,1,24,10.5,35,0
42,55000,250000,580,8,3,36,14.2,48,1
31,45000,150000,720,5,1,24,8.5,28,0
29,28000,180000,590,3,2,36,13.5,45,1
45,75000,300000,760,15,1,48,7.5,25,0
38,60000,220000,610,10,2,36,12.5,40,1
27,35000,120000,690,4,1,24,9.2,30,0
52,90000,350000,800,20,0,60,6.5,20,0
34,40000,200000,570,6,3,48,15.0,52,1
41,65000,180000,735,12,1,36,8.8,27,0
23,25000,90000,550,1,2,24,16.0,55,1
48,82000,280000,780,18,1,48,7.0,22,0
36,50000,175000,625,7,2,36,11.8,38,1
30,42000,130000,710,5,1,24,9.0,29,0
55,95000,400000,590,25,4,60,14.5,50,1
39,58000,210000,700,11,2,36,9.5,32,0
26,32000,160000,600,2,2,36,13.0,46,1
44,70000,240000,750,14,1,48,7.8,24,0
33,47000,190000,615,6,2,36,12.0,41,1
50,88000,320000,790,22,0,60,6.8,21,0
28,36000,110000,680,3,1,24,9.8,31,0
37,54000,230000,585,9,3,48,14.0,49,1
46,78000,270000,745,17,1,48,8.0,26,0
32,39000,145000,605,4,2,36,12.8,43,1
58,100000,450000,570,30,5,60,15.5,58,1
35,52000,155000,725,8,1,24,8.7,27,0
40,62000,205000,635,13,2,36,11.0,36,1
24,27000,85000,700,2,0,24,8.5,25,0
43,68000,260000,595,16,3,48,13.8,47,1
49,85000,290000,770,21,1,48,7.2,23,0
